interruption_test,prompt,prompt_length,sample_idx,speech_to_first_response,speech_to_tts_start,timestamp,timestamp_first_response,timestamp_speech_published,timestamp_test_start,timestamp_tts_end,timestamp_tts_start,total_response_time
False,预热测试 warmup test,16,-1,160.2766513824463,182.07478523254395,2025-09-30T09:18:04.231622,1759223883.0128403,1759223882.8525636,1759223882.7510746,1759223884.2315803,1759223883.0346384,1379.016637802124
False,预热测试 warmup test,16,-2,263.81587982177734,281.1741828918457,2025-09-30T09:18:08.136586,1759223886.6057653,1759223886.3419495,1759223886.2403708,1759223888.1365676,1759223886.6231236,1794.6181297302246
False,预热测试 warmup test,16,-3,294.02661323547363,309.1542720794678,2025-09-30T09:18:11.693433,1759223890.5408971,1759223890.2468705,1759223890.1410081,1759223891.6934147,1759223890.5560248,1446.5441703796387
False,"new way 4, what's the weather like today?",41,1,281.47006034851074,300.4274368286133,2025-09-30T09:18:17.353055,1759223894.0800276,1759223893.7985575,1759223893.6971054,1759223897.3530378,1759223894.098985,3554.4803142547607
False,"new way 4, when does the next shuttle arrive?",45,2,243.60299110412598,273.0560302734375,2025-09-30T09:18:23.484056,1759223899.7046208,1759223899.4610178,1759223899.3588436,1759223903.4840438,1759223899.7340739,4023.0259895324707
False,"new way 4, show me the campus dining options",44,3,259.60540771484375,282.72175788879395,2025-09-30T09:18:29.500145,1759223905.8523881,1759223905.5927827,1759223905.4872577,1759223909.5001035,1759223905.8755045,3907.320737838745
False,"new way 4, what time does the library close?",44,4,291.7153835296631,314.79883193969727,2025-09-30T09:18:35.359063,1759223911.9007652,1759223911.6090498,1759223911.503186,1759223915.3590431,1759223911.9238486,3749.993324279785
False,"new way 4, how do I get to the engineering building?",52,5,250.35929679870605,279.4771194458008,2025-09-30T09:18:41.951574,1759223917.7129886,1759223917.4626293,1759223917.3617408,1759223921.9515646,1759223917.7421064,4488.935232162476
False,"new way 4, what events are happening on campus?",47,6,325.2391815185547,344.81072425842285,2025-09-30T09:18:48.179772,1759223924.3850617,1759223924.0598226,1759223923.9586642,1759223928.1797574,1759223924.4046333,4119.934797286987
False,"new way 4, where can I find available parking?",46,7,294.47460174560547,323.7118721008301,2025-09-30T09:18:54.244217,1759223930.5797834,1759223930.2853088,1759223930.1836343,1759223934.2442071,1759223930.6090207,3958.8983058929443
False,"new way 4, what's the shuttle schedule for tomorrow?",52,8,329.1759490966797,349.3509292602539,2025-09-30T09:19:00.908924,1759223936.6771793,1759223936.3480034,1759223936.2468138,1759223940.9088423,1759223936.6973543,4560.838937759399
False,"new way 4, tell me about study spaces",37,9,350.4667282104492,371.86264991760254,2025-09-30T09:19:06.166584,1759223943.3692572,1759223943.0187905,1759223942.9171946,1759223946.1665661,1759223943.3906531,3147.775650024414
False,"new way 4, how late is the cafeteria open?",42,10,278.26905250549316,300.22621154785156,2025-09-30T09:19:11.950396,1759223948.5538595,1759223948.2755904,1759223948.174818,1759223951.950387,1759223948.5758166,3674.7965812683105
False,"new way 4, what's the current campus occupancy?",47,11,319.6113109588623,338.0863666534424,2025-09-30T09:19:18.012109,1759223954.3799288,1759223954.0603175,1759223953.9579875,1759223958.0120888,1759223954.398404,3951.7712593078613
False,"new way 4, show me the quickest route to the library",52,12,187.63017654418945,220.4742431640625,2025-09-30T09:19:24.471416,1759223960.306433,1759223960.1188028,1759223960.0148642,1759223964.4713874,1759223960.339277,4352.584600448608
False,"new way 4, what health services are available?",46,13,304.05521392822266,327.38566398620605,2025-09-30T09:19:30.637426,1759223966.8851511,1759223966.581096,1759223966.4792721,1759223970.6373987,1759223966.9084816,4056.302785873413
False,"new way 4, when is the next campus tour?",40,14,281.3737392425537,303.47728729248047,2025-09-30T09:19:36.267234,1759223973.0212815,1759223972.7399077,1759223972.6387997,1759223976.2672174,1759223973.043385,3527.3096561431885
False,"new way 4, where are the computer labs located?",47,15,217.7562713623047,246.4747428894043,2025-09-30T09:19:42.442702,1759223978.5908313,1759223978.373075,1759223978.2690344,1759223982.4426415,1759223978.6195498,4069.566488265991
False,"new way 4, what's the weather like today?",41,16,332.5080871582031,350.5856990814209,2025-09-30T09:19:48.327895,1759223984.8797984,1759223984.5472903,1759223984.4460685,1759223988.3278866,1759223984.897876,3780.5962562561035
False,"new way 4, when does the next shuttle arrive?",45,17,319.95344161987305,341.05515480041504,2025-09-30T09:19:54.569202,1759223990.7548938,1759223990.4349403,1759223990.3316207,1759223994.5691848,1759223990.7759955,4134.244441986084
False,"new way 4, show me the campus dining options",44,18,234.32493209838867,263.34095001220703,2025-09-30T09:20:00.406311,1759223996.912334,1759223996.678009,1759223996.5743923,1759224000.4063072,1759223996.94135,3728.2981872558594
False,"new way 4, what time does the library close?",44,19,172.52111434936523,198.66299629211426,2025-09-30T09:20:06.207505,1759224002.6881125,1759224002.5155914,1759224002.4139028,1759224006.2074854,1759224002.7142544,3691.894054412842
False,"new way 4, how do I get to the engineering building?",52,20,231.5671443939209,246.6716766357422,2025-09-30T09:20:12.619994,1759224008.542629,1759224008.3110619,1759224008.2101903,1759224012.6199892,1759224008.5577335,4308.927297592163
False,"new way 4, what events are happening on campus?",47,21,298.1112003326416,323.458194732666,2025-09-30T09:20:18.824399,1759224015.0292668,1759224014.7311556,1759224014.6290853,1759224018.8243814,1759224015.0546138,4093.2257175445557
False,"new way 4, where can I find available parking?",46,22,264.7280693054199,280.9317111968994,2025-09-30T09:20:25.003152,1759224021.1978376,1759224020.9331095,1759224020.8307743,1759224025.0030217,1759224021.2140412,4069.9121952056885
False,"new way 4, what's the shuttle schedule for tomorrow?",52,23,290.7392978668213,313.75646591186523,2025-09-30T09:20:31.615740,1759224027.4070175,1759224027.1162782,1759224027.0124469,1759224031.615722,1759224027.4300346,4499.443769454956
False,"new way 4, tell me about study spaces",37,24,247.5273609161377,273.21529388427734,2025-09-30T09:20:37.118102,1759224033.9741752,1759224033.7266479,1759224033.6234088,1759224037.1180844,1759224033.9998631,3391.4365768432617
False,"new way 4, how late is the cafeteria open?",42,25,339.0316963195801,365.9789562225342,2025-09-30T09:20:42.908697,1759224039.5635335,1759224039.2245018,1759224039.1216533,1759224042.908676,1759224039.5904808,3684.174060821533
False,"new way 4, what's the current campus occupancy?",47,26,234.06553268432617,259.34481620788574,2025-09-30T09:20:49.216056,1759224045.2548625,1759224045.020797,1759224044.9158397,1759224049.216035,1759224045.2801418,4195.237874984741
False,"new way 4, show me the quickest route to the library",52,27,242.35773086547852,257.59220123291016,2025-09-30T09:20:55.760341,1759224051.5647926,1759224051.322435,1759224051.220892,1759224055.7603111,1759224051.580027,4437.876224517822
False,"new way 4, what health services are available?",46,28,205.4433822631836,229.07352447509766,2025-09-30T09:21:01.854366,1759224058.0720294,1759224057.866586,1759224057.7644975,1759224061.854348,1759224058.0956595,3987.761974334717
False,"new way 4, when is the next campus tour?",40,29,217.00334548950195,237.5955581665039,2025-09-30T09:21:07.358610,1759224064.1852684,1759224063.968265,1759224063.8625758,1759224067.3585863,1759224064.2058606,3390.3212547302246
False,"new way 4, where are the computer labs located?",47,30,263.07153701782227,295.72296142578125,2025-09-30T09:21:13.356415,1759224069.7283607,1759224069.465289,1759224069.3623774,1759224073.3563883,1759224069.761012,3891.099214553833
False,"new way 4, what's the weather like today?",41,31,218.49632263183594,234.66992378234863,2025-09-30T09:21:18.912687,1759224075.6849923,1759224075.466496,1759224075.3613563,1759224078.9126623,1759224075.701166,3446.1662769317627
False,"new way 4, when does the next shuttle arrive?",45,32,217.77820587158203,247.76792526245117,2025-09-30T09:21:24.920922,1759224081.2439222,1759224081.026144,1759224080.9201307,1759224084.9208782,1759224081.273912,3894.7341442108154
False,"new way 4, show me the campus dining options",44,33,329.7150135040283,347.3069667816162,2025-09-30T09:21:30.816074,1759224087.3618238,1759224087.0321088,1759224086.927283,1759224090.816058,1759224087.3794158,3783.949136734009
False,"new way 4, what time does the library close?",44,34,264.1327381134033,284.1227054595947,2025-09-30T09:21:36.634839,1759224093.1892264,1759224092.9250937,1759224092.8208458,1759224096.634821,1759224093.2092164,3709.7272872924805
False,"new way 4, how do I get to the engineering building?",52,35,251.60598754882812,265.1708126068115,2025-09-30T09:21:43.076294,1759224098.997153,1759224098.745547,1759224098.6425254,1759224103.0762782,1759224099.0107179,4330.731153488159
False,"new way 4, what events are happening on campus?",47,36,264.86825942993164,297.24907875061035,2025-09-30T09:21:49.287058,1759224105.4493487,1759224105.1844804,1759224105.0826275,1759224109.2870314,1759224105.4817295,4102.550983428955
False,"new way 4, where can I find available parking?",46,37,268.0490016937256,294.53563690185547,2025-09-30T09:21:55.326213,1759224111.6651971,1759224111.3971481,1759224111.2958016,1759224115.3261442,1759224111.6916838,3928.9960861206055
False,"new way 4, what's the shuttle schedule for tomorrow?",52,38,187.8197193145752,206.16459846496582,2025-09-30T09:22:01.683627,1759224117.621933,1759224117.4341133,1759224117.3309054,1759224121.6836104,1759224117.6402779,4249.497175216675
False,"new way 4, tell me about study spaces",37,39,298.05564880371094,328.97472381591797,2025-09-30T09:22:07.074009,1759224124.0871112,1759224123.7890556,1759224123.6877246,1759224127.073991,1759224124.1180303,3284.935474395752
False,"new way 4, how late is the cafeteria open?",42,40,261.9662284851074,281.44240379333496,2025-09-30T09:22:12.857384,1759224129.4439383,1759224129.181972,1759224129.0808635,1759224132.8573632,1759224129.4634144,3675.39119720459
False,"new way 4, what's the current campus occupancy?",47,41,338.1543159484863,363.7685775756836,2025-09-30T09:22:19.171393,1759224135.3070357,1759224134.9688814,1759224134.8638897,1759224139.1713781,1759224135.33265,4202.496767044067
False,"new way 4, show me the quickest route to the library",52,42,295.0277328491211,317.6288604736328,2025-09-30T09:22:25.689779,1759224141.5712948,1759224141.276267,1759224141.175061,1759224145.689772,1759224141.593896,4413.504838943481
False,"new way 4, what health services are available?",46,43,231.5652370452881,253.86881828308105,2025-09-30T09:22:31.571752,1759224148.0288355,1759224147.7972703,1759224147.6940627,1759224151.571738,1759224148.051139,3774.467706680298
False,"new way 4, when is the next campus tour?",40,44,270.7853317260742,294.60811614990234,2025-09-30T09:22:37.189378,1759224153.9488115,1759224153.6780262,1759224153.5757434,1759224157.1893618,1759224153.9726343,3511.335611343384
False,"new way 4, where are the computer labs located?",47,45,291.68701171875,313.8315677642822,2025-09-30T09:22:43.551557,1759224159.5921493,1759224159.3004622,1759224159.194785,1759224163.5515401,1759224159.6142938,4251.077890396118
False,"new way 4, what's the weather like today?",41,46,250.42080879211426,264.23025131225586,2025-09-30T09:22:49.438589,1759224165.9098725,1759224165.6594517,1759224165.5565178,1759224169.4385154,1759224165.923682,3779.0637016296387
False,"new way 4, when does the next shuttle arrive?",45,47,301.73420906066895,316.65611267089844,2025-09-30T09:22:55.607555,1759224171.8512778,1759224171.5495436,1759224171.4456263,1759224175.6075366,1759224171.8661997,4057.992935180664
False,"new way 4, show me the campus dining options",44,48,247.62201309204102,275.20155906677246,2025-09-30T09:23:01.611552,1759224177.9667454,1759224177.7191234,1759224177.6162837,1759224181.6115346,1759224177.994325,3892.411231994629
False,"new way 4, what time does the library close?",44,49,291.6562557220459,316.8461322784424,2025-09-30T09:23:07.607323,1759224184.0138092,1759224183.722153,1759224183.6157944,1759224187.6073177,1759224184.038999,3885.164737701416
False,"new way 4, how do I get to the engineering building?",52,50,245.99003791809082,268.0051326751709,2025-09-30T09:23:14.201781,1759224189.9612837,1759224189.7152936,1759224189.6113622,1759224194.201748,1759224189.9832988,4486.454248428345
